epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.35770833,1.913805215160052,0.567012,1.277861208520471
1,0.6020833,1.1745508652925492,0.6712901,0.9476186642672288
2,0.6671875,0.981859896381696,0.7248496,0.777876653135779
3,0.698125,0.8830696075161298,0.76779747,0.6488661428186345
4,0.7139583,0.8250755928953488,0.79035765,0.5853486241185092
5,0.7235417,0.7914988398551941,0.8058155,0.5424735555674303
6,0.73822916,0.753926305671533,0.8167614,0.5186780974826711
7,0.7494792,0.7092932795484861,0.81776404,0.5054351054729624
8,0.7475,0.7163009743889173,0.8248663,0.49447062866573027
9,0.75572914,0.6781831345955531,0.82494986,0.49066364382677535
10,0.76395833,0.6815389652053515,0.82795787,0.4840706135818665
11,0.7758333,0.6476189583539963,0.8294619,0.47897983808568456
12,0.7652083,0.6612198273340861,0.82954544,0.4752449706435841
13,0.770625,0.639308722615242,0.8312166,0.47229028465276096
14,0.76625,0.6569129903117815,0.83372325,0.4670986279765552
15,0.7792708,0.6161538573602835,0.83221924,0.4650718588880039
16,0.77802086,0.6188170664012432,0.8340575,0.4605384528796303
17,0.7803125,0.6105798807740211,0.8382353,0.45432535355741327
18,0.7866667,0.6051425057649612,0.8382353,0.4508122551568689
19,0.7866667,0.6081320405999819,0.8368148,0.4528812115842646
20,0.7871875,0.5888635144134362,0.83882016,0.44717730239113385
21,0.7871875,0.5973600334922473,0.83790106,0.4465079666937099
22,0.79114586,0.5870918994645278,0.83932155,0.44431370680026194
23,0.78625,0.5909789523979028,0.8379846,0.4440538785196243
24,0.7945833,0.575265530993541,0.8398229,0.4387579903723722
25,0.791875,0.5829185390472412,0.8399064,0.4355699926774132
26,0.79625,0.5706978287796179,0.84333223,0.4372869797728278
27,0.8020833,0.5552646705508232,0.8424131,0.43364369128158387
28,0.79760414,0.563876662949721,0.84216243,0.4358068461564773
29,0.7884375,0.5800555971761544,0.84249663,0.43074729329443234
